longitude,latitude,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7
30.488472,31.173472,8650.5,9009.5,10024.5,10146.5,15470.0,13216.5,11122.0
30.524722,31.151861,8013.5,8290.0,9328.0,9051.0,16040.0,11186.5,9418.0
30.566028,31.130972,8358.5,8715.5,9803.0,9831.5,15446.5,12883.5,10696.5
30.647556,31.077806,8746.5,9189.0,10220.0,10775.0,16168.5,15152.0,12429.5
30.734028,31.0285,8013.5,8367.0,9608.0,9206.5,17916.5,11279.0,9290.5
30.807556,31.013361,8337.5,8846.5,9854.5,10047.0,14041.0,11737.5,10066.5
30.790639,30.965194,8425.0,8779.5,9617.0,9734.0,15041.5,12516.0,10591.0
30.801278,30.913278,13400.5,14098.5,15699.5,16159.5,20067.5,18451.5,16263.5
30.815306,30.904389,8631.0,9057.5,9857.0,10420.0,12576.5,12186.5,11228.5
30.848333,30.901222,8187.5,8474.0,9510.5,9359.5,17257.5,12240.5,9916.0
30.876917,30.8735,10003.0,10417.0,11619.5,12501.0,14581.5,15766.5,14805.0
30.899056,30.85625,8698.0,9047.5,9895.5,10234.5,14260.5,12657.5,11025.5
30.930333,30.835639,8207.0,8586.5,10018.0,9678.0,18993.5,12619.0,10009.5
30.961583,30.783083,8307.0,8716.5,9705.0,10041.0,14483.5,12700.0,10783.0
31.003111,30.759333,8190.5,8505.0,9671.0,9424.5,16953.5,12602.5,10322.5
31.043556,30.735694,8260.0,8535.0,9448.0,9307.0,16163.0,12505.0,10212.0
31.085667,30.727861,8865.0,9283.0,10236.0,10742.0,14106.5,13194.5,11554.0
31.101222,30.683639,9324.5,9668.0,10536.0,11296.0,13863.0,13877.5,12762.5
31.143611,30.645361,8710.0,9059.5,10062.0,10348.5,17646.0,13793.0,11296.0
31.1825,30.600361,8781.0,9110.5,10170.5,10647.0,15407.5,14079.0,11960.5
31.2075,30.569444,9176.0,9554.5,10688.5,11447.0,15353.0,15254.0,12913.5
31.224444,30.531583,9625.0,10004.0,11249.5,12103.5,15939.5,15733.0,14022.5
31.264361,30.518389,9303.0,9654.0,10606.5,11299.5,15732.5,14945.0,12928.5
31.31125,30.515528,9150.0,9489.5,10529.5,11034.5,16491.0,15796.0,13045.0
31.344417,30.482861,8458.0,8751.5,10003.5,9456.5,20004.0,13972.5,10702.0
30.851444,31.030083,8346.5,8784.5,10349.0,10126.5,19691.5,13182.0,10324.5
30.894389,31.024361,8842.0,9437.5,12161.5,12005.0,21143.5,16317.0,13635.5
30.893667,31.024667,10228.5,10912.0,13097.0,13409.0,22722.0,16665.0,13797.5
30.931611,30.990083,7906.0,8242.0,9437.0,9120.0,17827.0,11539.0,9371.0
30.980056,30.970417,8140.5,8559.0,9879.5,9622.0,19401.5,12543.5,9962.0
31.031639,30.961556,9917.0,10753.0,13324.5,13315.0,22627.5,16666.5,13555.0
31.08575,30.965417,8962.5,9439.5,10425.0,11272.5,15017.5,14673.5,12558.5
31.142111,30.968861,8912.0,9380.0,10419.0,11101.5,14405.5,13846.0,12224.0
31.214722,30.984111,8581.5,8979.0,10488.0,10316.0,21351.0,13819.0,10761.5
31.268806,30.990528,8907.0,9515.5,10788.5,11608.0,17889.5,15705.5,12876.0
31.261778,31.049611,8463.5,8678.5,9722.5,9272.5,18953.0,13996.0,10747.0
31.278194,31.093417,8214.0,8530.0,9840.5,9580.0,20368.5,12666.5,10076.5
31.328944,31.132139,8265.0,8788.0,10393.5,10392.5,19468.5,12966.5,10261.5
31.399,31.125,9081.0,9466.0,10581.0,11164.0,14380.0,13963.5,12216.5
31.47175,31.126861,7824.0,8274.0,9467.5,9098.0,17364.0,13331.5,10429.5
31.526444,31.140306,8542.5,8984.5,10136.5,10459.0,16980.5,13568.0,11074.5
31.565361,31.081889,8656.5,8975.5,10319.0,10254.0,20750.0,14690.5,11649.5
31.586472,31.0525,9159.0,9401.0,10386.5,10217.5,22198.5,15334.0,11595.5
31.412167,30.451,9465.0,10060.5,11699.5,12163.5,18969.0,15520.5,13444.5
31.340417,30.366278,8558.0,8827.5,9742.0,10040.5,13137.5,12331.0,10972.0
31.205,30.091444,10378.5,11060.5,12431.0,13653.5,15320.0,16778.5,15987.5
31.167278,30.069167,10230.0,10681.0,11889.5,12962.0,16585.5,16657.5,14767.5
31.128167,30.102194,8899.0,9173.0,10092.0,10190.5,15870.5,13749.5,11440.5
31.120861,30.164528,8844.0,9149.0,10286.0,10216.0,17160.0,14217.0,11553.0
31.10825,30.211944,8473.5,8719.0,9590.0,9658.5,16052.0,13431.5,11011.5
31.086417,30.294417,8165.5,8449.5,9568.0,9090.5,18385.5,13159.0,10508.5
31.069194,30.359806,8398.0,8733.0,9817.5,9921.5,16516.0,13507.5,11310.5
31.01325,30.473583,8398.0,8882.0,10122.0,9977.0,18022.5,14055.5,11238.0
